,tweet
20,Goodbut VictoriaPolice  the Andrews Labor Govt’s response the week before the BLM protest was pathetic Should have arrested the organisers  made it clear everyone attending would be finedProtesters who broke the law still haven’t been fined  that changed the public mood https://twittercom/aneekasimonis/status/1291519418992713729 …
21,Israel 🇮🇱 First Nation to offer Lebanon 🇱🇧 aid after the devastating blast I doubt theprojecttv will mention that DvirAbramovich
22,How’s Andrews going to spin his hotel quarantine fiasco today given Judge Coate’s comments yesterday?
23,Let me guess theprojecttv was happy to peddle anti-Israel bile ? Why am I not surprised Beirut tragedy had nothing to do with Israel Appalling that this went unchallenged https://twittercom/jodilee_7/status/1291137941612326912 …
24,“Not perfect?”😆🤦🏼‍♀️🤬There is mass confusionThe ABC VECCI  Labor might think it’s all hunky dory- speak to real people who are actually in businesses that are unlikely to survive Leave the echo chamber of govt funded entities  wake up to the awful reality of what’s going on https://twittercom/raf_epstein/status/1291143857514532864 …
25,I will be very interested to see how Andrews refuses to answer questions from the media about the hotel quarantine fiasco that caused Melbourne’s catastrophic and fatal second wave of Covid-19 at his press conference today
26,Judge Coate said “there is no general restriction or prohibition which would prevent a person from commenting publicly or answering questions to which they know the answers on matters which are the subject of examination by this board of inquiry” https://wwwheraldsuncomau/coronavirus/hotel-inquiry-no-reason-for-mps-to-stay-silent-on-bungles/news-story/150ec04a0ed7ddadf08f922048f43e5a …
27,Andrews’ leadership superficial and a failure - brilliant analysis by Greg Sheridan of why Victoria is in crisis because of the failures of its state government https://wwwtheaustraliancomau/commentary/daniel-andrews-cleverly-leads-in-a-vacuum-of-democracy/news-story/075dce1f0b2dda2c693077e92e3ac467 …
28,The Department of Justice website has crashed These clowns 🤡 in the Andrews Government can’t get anything right https://twittercom/3aw693/status/1290742526576488449 …
29,And wouldn’t you know it the Justice Department website has crashed can the Andrews government get anything right ? No ‘worker permits‘ today it would appear https://twittercom/rwillingham/status/1290760932226809857 …
30,🥇 Gold We all need a laugh at the moment and this is hilarious https://twittercom/mmmhotbreakfast/status/1290773669342412800 …
31,Tragic Devastating Infuriating He who caused this ought to apologise And then go
32,Andrews has caused this madness - forensic analysis by J_C_Campbell https://wwwheraldsuncomau/news/opinion/james-campbell/the-mad-decisions-daniel-andrews-team-keep-making-must-stop/news-story/13e09c402503082a9ca76be4bf699aa3 …
33,Very much looking forward to speaking on BBCWorld radio very soon about the ongoing Covid-19 crisis in Victoria
34,⁦theheraldsun⁩ nails its front page tomorrow pictwittercom/LRV9a1stqV
35,No It’s a disaster that’s causing tragedy and economic catastrophe And those responsible haven’t apologised or taken responsibility
36,I always told you lot about Brendan but you have taken a while  😊
37,You HAVE rewarded dangerous behaviour that contradicted the Covid-19 directions from the CHO9997 protesters weren’t fined in June at that ridiculous protest you barely did anything to stop https://twittercom/jennymikakos/status/1290576004121915393 …
38,How about apologising ? https://twittercom/DanielAndrewsMP/status/1290595771482423297 …
39,You have an obligation to be accountable to the parliament  you’ve refused to answer questions because your failures as a Minister have caused tragedy and economic catastrophe Your use of the word ‘reward’ is paternalistic condescending and arrogant What planet are you on ? https://twittercom/JennyMikakos/status/1290576004121915393 …
40,Important story by rwillingham about how in the middle of a pandemic the Health Minister refused to answer questions about the second wave of this virus and be held to account by the parliament https://mobileabcnetau/news/2020-08-04/victorian-coronavirus-advice-parliament-sits-jenny-mikakos/12523614 …
41,This is the same Minister that did absolutely nothing to dissuade thousands of people from ignoring the directions of the CHO and protest through the streets of Melbourne in June When will JennyMikakos take responsibility for her role in the hotel quarantine fiasco and resign? https://twittercom/9newsmelb/status/1290562487977414656 …
42,Democracy can’t be suspended  because we are in a pandemic Ministers must be held accountable for their failures This is shameful as JennyMikakos is part of the gang of 8 and the greatest public administration failure in Australian history - the hotel quarantine fiasco https://twittercom/rwillingham/status/1290489270013050887 …
43,Really looking forward to to speaking with BenFordhamLive on 2GB873 very soon from Dan’s disaster zone - Melbourne
44,Obviously yes
45,No the Victorian Parliament doesn’t allow it I have asked
46,Answering the office phone and emailing me the message 🤷‍♀️?
47,I’m happy to reply You leave my mum out of this Out of the goodness of her heart she volunteered in my office didn’t get paid a cent and was only on the system because she needed an email address Your attack is about as low as you can get
48,and not the police and ADF like every other state NSW has not had 1 transmission of Covid from hotel quarantine into the community Once it got into the community Victoria’s contract tracing was abysmal Look at NSW they’re dealing with their cases so efficiently
49,Andrews is trying to the blame the people and he’s right a small minority of Victorians are doing the wrong thing I can’t believe 25 of infected persons visited by the ADF weren’t home 🤬  But the cause of this second wave was his government using untrained security guards
50, https://wwwtheaustraliancomau/commentary/editorials/outbreak-exposes-failures-in-leadership-and-systems/news-story/11e5f3dbe9e64db2f34c3def38f00b24 …
51,The social distancing in that video is poor but that’s not the reason Victoria is in a mess We’re in this mess because of the failures of hotel quarantine by the Andrews govt Facts are stubborn things so please don’t forget what caused this catastrophe massive govt failure https://twittercom/sumeyyailanbey/status/1289738106225098752 …
52,If they have no legal rights to remain in the United Kingdom 🇬🇧 send them home HM’s government should state that it as the elected government of the UK will decide who comes to the UK and the circumstances in which they come
53,Sneaked out very late on a Friday night now former Deputy CHO Dr Van Diemen has been either sacked or sent sideways Looks like the deck chairs are being shuffled The Health Minister should be sacked not just the Deputy CHO incompetence all round pictwittercom/PoEL0jvZoE
54,Looking forward to speaking with marklevy2gb on NewsTalk4BC after the 5pm news 
55,If people with Covid-19 don’t have the sense to remain in iso at homethey should be compulsorily placed in quarantine at their own expense or fined for leaving home Had Andrews deployed resources to this vital task earlier Vic wouldn’t be in the midst of tragedy  catastrophe https://twittercom/bridgerollo/status/1289005010714419201 …
56,These goons must have the book thrown at them and how disrespectful protesting at the Shrine The BLM protesters in June should have had the book thrown at them too Instead there was an utterly pathetic response that still annoys many Victorians who have abided by the rules https://twittercom/paulbentleymelb/status/1288960661695819776 …
57,NSW CHO confirms all NSW active cases can be traced back to Victoria  we know from Victoria’s CHO that all those cases came from hotel quarantine failures in Melbourne Aside from the ongoing tragedy here the national implications of this entirely preventable debacle is huge https://twittercom/BenFordhamLive/status/1288946888541052929 …
58,On 2GB after 6am news but always love to have a chat with you on Melbourne’s own 3AW693 
59,Really looking forward to talking with BenFordhamLive on 2GB873 after the 6am news 
60,Apologies all there were gremlins in the IT at Sky  the joys of doing interviews remotely 🤦🤬 https://twittercom/timsmithmp/status/1288754319894839297 …
61,Looking forward to speaking with Peta Credlin on SkyNewsAust with my good friend and colleague r_riordanmp very soon 
62,Omg 🤦 https://twittercom/heidimur/status/1288644077949313026 …
63,I’ll bet Daniel Andrews can’t wait to watch to this a bit like last time his government featured on 60Mins  but this time hopefully his friends are forced to resign like JennyMikakos rather than his factional enemies https://twittercom/60Mins/status/1288394915882270720 …
64,Locals are furious after two Kew gum trees are chopped down after Multinet Gas severed the roots of magnificent trees I will be taking this further to ensure Multinet Gas is held to account https://wwwheraldsuncomau/news/victoria/boroondara-council-blames-multinet-gas-worker-for-destroying-kew-trees/news-story/f1807718c7ccb22fc04b0dec7d352961 …
65,Local residents are furious that Multinet Gas so severely damaged some magnificent trees that on safety grounds Boroondara has had to remove them I’ll be making a formal complaint to ewov ensuring Multinet Gas is held accountable for the destruction of 2 beautiful trees https://twittercom/rolfep/status/1288377077935169540 …
66,No wonder the amapresident is calling for a Royal Commission into the ongoing and tragic fiasco in Victoria https://twittercom/tomsteinfort/status/1288295703215652864 …
67,One of the key reasons Victorians have had to wait so long for their Covid-19 teat results Just a reminder the Premier has been in office for 6 years He’s also a former health minister
68,Extraordinary 🤦🏻‍♂️🤷‍♀️🤬🇦🇺Chief Scientist Alan Finkel discovered private pathology labs still have to manually phone in results to the Victorian Department of Health and Human Services unlike automated email systems used in other states https://www9newscomau/national/coronavirus-greg-hunt-interview-aged-care-residents-turned-away-from-overcrowded-victorian-public-hospitals/d6f67c17-731e-4e9f-bf50-000f6594694e …
69,🤦🏻‍♂️ https://twittercom/SimoLove/status/1288024865727905797 …
70,Andrews was advised by the Secretary of the Federal Department of HealthBrendan Murphyto move elderly residents to hospital LAST WEEK but he didn’t Now he tries to blame the fed govt for a 2nd wave caused by his govt’s appalling handling of quarantine https://wwwnewscomau/lifestyle/health/health-problems/daniel-andrews-deadly-mistake-in-victorias-aged-care-coronavirus-crisis-has-been-revealed/news-story/919a5aa86c04757e18e7311b09db4749 …
71,We all must obey the law No one enjoys wearing a maskbut the police don’t make the lawthe state government does so if you’re annoyed about having to wear a maskdirect your annoyance at the state govt  not the police Pleaserespectfully follow lawful directions by police
72,No wonder the people of Victoria are confused afraid and angry Our Premier spent another day blaming the people of Victoria for the second wave of Covid-19 He won’t take responsibility for his own failures so he blames you His mixed messaging has caused mass confusion pictwittercom/9oAPX8rpF0
73,Thank you Felicity  https://twittercom/jeff_kennett/status/1286587821755527168 …
74,For all the abuse I’ve received about masks there you go twitter it’s on and with aptly themed background music Good work SimoLove - we can’t go out on a Friday night but we can still have a laugh https://twittercom/SimoLove/status/1286554206124429313 …
75,Why haven’t they been doing this for months? Had Andrews allowed the ADF into Victoria months agothey would have had the resourcesif resourcing was the problemto knock on doors of infected people to make sure they were isolating within 1 day per national cabinet directions https://twittercom/heidimur/status/1286477047053705217 …
76,So the state government hasn’t been following up infected people they couldn’t reach by phoneuntil NOW ? They were meant to contact them within 24 hours what an absolute scandal This is simply negligent No wonder this virus has spiralled out of control https://twittercom/heidimur/status/1286476625886842881 …
77,Yes https://twittercom/sunriseon7/status/1286410247381192704 …
78,If someone is smoking that’s a lawful excuse for not wearing a 😷 but if they’re walking the 🐕 they have to wear one 🤷‍♂️ Do you think that’s odd? Btw given the hysterics from some at the ABC about masks I reckon you’re going to look like hypocrites for not wearing them on air https://twittercom/mjrowland68/status/1286039564604252160 …
79,Looking forward to discussing the ongoing coronavirus debacle in Victoria with BenFordhamLive on 2GB873 after the 6am news
80,Funnily enough ‘mystery pigeon’ 😂 I think you’re a liar
81,Great to see MatthewGuyMP back in the saddle on SkyNewsAust giving a Master Class on how to sink the boots into Daniel Andrews and Labor https://twittercom/SkyNewsAust/status/1285926089609510917 …
82,The cause of the second wave is hotel quarantine failures by the Andrews Labor government As you say facts matter and the CHO has made it quite clear what caused Victoria’s second wave See below TonyBarry pictwittercom/shRCIrc3OG
83,Daniel Andrews and ministers; MartinPakulaMP LisanevilleMP JennyMikakos are responsible for this catastrophic failure that has resulted in the 2nd wave Security guards for hotel quarantine were hired via WhatsApp and then given no trainingYou couldn’t make this up https://twittercom/abc730/status/1285508138691514368 …
84,The consequences of hiring security guards by WhatsApp and giving them no training in managing hotel quarantine with people infected with Covid-19 3000 new cases a second wave another lockdown and compulsory mask wearing All completely avoidable if Andrews had used the ADF https://twittercom/abc730/status/1285509726092947456 …
85,Typically lazy or deliberately misleading nonsense from  ellenmfanning I told BenFordhamLive on 2GB873 compulsory masks at supermarkets or public transport are “perfectly reasonable”Thanks to Chris Kenny for calling out ellenmfanning on SkyNewsAust  https://wwwfacebookcom/57886636727/posts/10157508578251728/?vh=e …
86,Well said John I’ve no doubt you’re about to be trolled like never before We live in a democracyIt’s an obligation of the media and the opposition in parliament to hold the government of the day to account https://twittercom/fergusonjw/status/1285451185923620864 …
87,No I haven’t That is a complete lie
88,Not a chance Well said TB
89,Michael if you want to ask me about my criticisms of the Andrews Labor govt  their responsibility for the greatest public health failure in the nation’s history; resulting in multiple deaths thousands of new cases costing the Vic economy $1billion a week then give me a call
90,Maybe had this been the approach by the Andrews Labor government and Victoria Police in the lead up to the BLM protest in Melbourne on 6 June Victora wouldn’t currently be in the horrendous position we find ourselves Dandemic springst https://twittercom/BenFordhamLive/status/1284959356916625408 …
91,Looking forward to talking with BenFordhamLive on 2GB873 very soon 
92,1000’s of infected Victorians have not been contact traced This Dandemic has been caused by gross negligence of the Andrews Labor government The hotel quarantine fiasco let the virus 🦠 back into the community  now we are all to be muzzled dandemic https://wwwheraldsuncomau/coronavirus/close-contacts-of-confirmed-coronavirus-cases-in-victoria-are-falling-through-the-cracks/news-story/380bd6eda9cf34254bc05428a9b6b55e …
93,We’re not in this mess because the Andrews govt eased restrictions the day after Mother’s Day Victoria’s 2nd wave costing lives has been caused by what would be criminal negligence or manslaughter if the state govt was a private company by failing to manage hotel quarantine https://twittercom/lhilakari/status/1284779206937767939 …
94,We are not in this mess because the Andrews government eased restrictions the day after Mother’s Day The 2nd wavecosting liveshas been caused by what would be criminal negligence or manslaughter if the state govt was a private company by failing to manage hotel quarantine
95,The inquiry into Labor’s hotel quarantine fiasco is a cover up Council Assisting will be instructed by lawyers provided by the Victorian Government Solicitor’s OfficeSlight conflict?Unlikely that ministers will be called as witnesses what a joke https://amptheagecomau/national/victoria/as-the-enemy-advances-who-s-in-charge-of-victoria-s-defences-20200717-p55d26html?__twitter_impression=true …
96,Victorians are being compulsorily masked in public because of the Andrews Labor government’s failures to manage hotel quarantine and contact tracing Victorians are bearing a huge burden becuase of the most catastrophic public administration failure in Australian history https://twittercom/9NewsMelb/status/1284762288948301825 …
97,You’re paid to be impartial right ? Why are you telling a state opposition MP to be quiet ?
98,Chairman Dan is at it again Stupid rules that reasonable people will rightly regard as having no impact on combatting the spread of the virus Why do many Melbournians particularly women like walking/running the Tan? Because it’s lit at night and there are no cars - it’s safe pictwittercom/Xe5jSKg48m
99,Looking forward to speaking with peterstefanovic on SkyNewsAust very soon 
100,The most striking observation Twomey makes is this; “the Kerr-Palace letters instead of showing that the Palace interfered in the dismissal of the Whitlam government showed that Whitlam sought palace interference but didn’t get it We are an independent country after all”
101,If you want a genuinely objective appraisal of the ‘Palace Letters’ read this by Prof Anne Twomey There is no ideological nonsense in this article Twomey says it’s “categorically clear that the Queen had no advanced knowledge of the dismissal” https://wwwsmhcomau/national/most-surprising-of-the-palace-letters-shines-new-light-on-whitlam-20200713-p55bpwhtml …
102,What a load of complete nonsense palaceletters should read Professor Anne Twomey’s column in the smh https://twittercom/SkyNewsAust/status/1283215800631881731 …
103,Not one guilty Labor Minister has taken responsibility for this fiasco that caused Victoria’s second wave of Covid-19 Chairman Dan Martin Pakula Lisa Neville and Jenny Mikakos all must lose their jobs because their incompetence will cost thousands of Victorians theirs https://twittercom/9NewsMelb/status/1282928098560946176 …
104,The Andrews Labor Govt has completely stuffed up Victoria’s response to Covid-19 This is an extraordinary revelation that will have many Victorians wondering what else have they stuffed up and then covered up ?The Covid fiasco continues in Victoria 🤦🏼‍♀️ https://twittercom/9NewsMelb/status/1282588176314511361 …
105,Victoria's Chief Health Officer told ABC radio that most if not all of Victoria's second wave came from a hotel quarantine outbreak Had Daniel Andrews  Labor used the ADF  Victoria Police instead of bouncers we wouldn't be in Lockdown 20 Labor-the same Guilty Party pictwittercom/grPWbrwKcQ
106,Looking forward to talking with DeeDeeDunleavy on 3AW693 after the 1pm news 
107,Is the state government taking hotel quarantine seriously now? Is Andrews  the CHO abiding by directions of the National Cabinet and are the police and ADF managing hotel quarantine with no bouncers ?The answer is no The govt caused this mess not the general public https://twittercom/heidimur/status/1282126718174523392 …
108,Home schooling is again being forced on mums and dads by Daniel Andrews This will be very difficult for many  Remember this second wave of Covid-19 was caused by Daniel Andrews refusing to use the ADF to manage hotel quarantineInstead he used bouncers from the local pub https://twittercom/jodilee_7/status/1282118633502597121 …
109,Daniel Andrews’ Covid catastrophe: What went wrong in Victoriagreat analysis in today’s ⁦theheraldsun⁩ by Patrick Carlyon Victoria’s second wave of Covid-19 was caused by horrendous and avoidable errors by this Labor Government https://wwwheraldsuncomau/news/victoria/how-a-catalogue-of-failures-turned-victoria-into-a-virus-timebomb/news-story/da01b73b37ce3c88eb18c3f8c73bb15d …
110,Looks like Pakula knows the result of the state hotel quarantine inquiry without it even beginning this whole fiasco stinks https://wwwtheaustraliancomau/nation/politics/coronavirus-australia-union-jobs-for-hotel-quarantine-claim-rejected-by-victorian-jobs-minister-martin-pakula/news-story/af8288d835398a2fe71234fbe22e902d …
111,As DavidDavisMLC said about the fake Victorian inquiry;“a whitewash designed to shield the Premier and his key ministers from scrutiny”“The inquiry is clearly designed to direct the questions to agencies and shield ministers; it’s a cover-up” https://wwwheraldsuncomau/coronavirus/limitations-of-inquiry-into-victorias-bungled-hotel-quarantine-may-stop-truth-from-surfacing/news-story/34ce5d144aacfacf13412991d333caac …
112,Thankfully the federal government is now holding a legitimate and transparent review into the hotel quarantine fiasco by the Andrews government The Victorian review reeks of a cover up https://wwwafrcom/politics/federal/anz-director-to-lead-national-quarantine-probe-20200710-p55ayo …
113,Insulting language again from Andrews and his team today - ramping up the blame on Victorians for the second wave: Make no mistake Victoria is in this mess because of the debacle created by this Labor government’s inability to manage hotel quarantine https://wwwheraldsuncomau/news/opinion/paul-dimattina-business-owners-will-get-through-this-crisis-but-we-need-help/news-story/d57cfe1ed14ed0dbbcaa441c43a3075b …
114, pictwittercom/CBx1ElNg6C
115,Andrews arrogance risks nation’s recovery - my column in today’s AusOpinion This is the lockdown Victorians should never have had to have https://wwwtheaustraliancomau/commentary/andrews-arrogance-puts-nations-recovery-at-risk/news-story/b7e733ca7fee52cb84082e92521b439f …
116,It might be early but as always looking forward to talking to BenFordhamLive on 2GB873 to discuss the lockdown Victoria shouldn’t have to have
117,If this incompetent fool of a Premier had managed hotel quarantine with the ADF  not bouncers we wouldn’t be in this position Andrews should resign So should MartinPakulaMP LisanevilleMP and JennyMikakos Labor has failed VictoriansThey truly are the Guilty Party https://twittercom/Media_Matt/status/1280376577985966085 …
118,Could you imagine the ABC’s response if these towers had been locked down by a Coalition govt ?
119,$35 million for KPMG consultants 🤦🏼‍♀️to help organise the most shambolic response to Covid-19 of any state in Australia No value for money Ridiculously expensive What have the public servants been doing? Did these consultants contribute to the hotel quarantine fiasco ? https://twittercom/rachelbaxendale/status/1280276684093054976 …
120,We are the pariahs of Australia Exiled from our own country Locked down locked out - a national embarrassment why ? Because a second wave of Covid-19 started becuase Andrews stuffed up hotel quarantine used untrained bouncers not the ADF and the virus took off again pictwittercom/BDDZKr3wmy
121,Apparently Housing Minister Richard Wynne lives 50 metres from the locked down public housing towers so Dick get out of bed walk over to the flats and sort out this mess you’ve created People are not getting what they need  they’re not being told what’s going on Fix it  https://twittercom/SkyNewsAust/status/1280242737803976705 …
122,Victorians are officially the pariahs of 🇦🇺NSW will close the border We are banned from the rest of 🇦🇺 because the utter negligence of Daniel Andrews and his Ministers Their  failure to properly manage hotel quarantine has resulted in a second wave https://wwwtheagecomau/national/victoria-nsw-border-to-shut-from-midnight-on-tuesday-20200706-p559cvhtml …
123,My interview on ABC NewsRadio Breakfast this morning with Sandy Aloisi https://wwwabcnetau/radio/newsradio/victorian-opposition-slams-extreme-and/12424760 …
124,Don’t punish rural communities on either side of the Murray River for Daniel Andrews’ incompetence in Melbourne Keep the Vic/NSW border open My interview with BenFordhamLive on 2GB873 https://twittercom/2GB873/status/1279892049764872192 …
125,Looking forward to talking with BenFordhamLive on 2GB873 right now 
126,You couldn’t make this up
127,Yes
128,Great piece by 3AWNeilMitchell “Daniel Andrews must call in the ADF He needs guards They know how to guard He needs medical capabilityThey have doctors and nurses He needs Victoria police to be freed from the non-policing work so they can concentrate on law and order” https://twittercom/9NewsMelb/status/1279667577615028227 …
129,You couldn’t make this up  🤦🏻‍♂️ Why won’t this panicked state Labor government just call out the ADF  liked they had initially planned to ? https://twittercom/moniquehore/status/1279592104444887041 …
130,This is unacceptable Andrews Labor has essentially placed these residents under house arresthow will they get food and basic necessities? billshortenmp is right Andrews must start clearly communicating with residents  “there’s a bit of catch up to communicate with people” https://twittercom/RemyVarga/status/1279624574288556032 …
131,Victoria is losing the fight against Covid-19 because of the incompetence of Andrews and his gang of 8 https://wwwtheaustraliancomau/commentary/victorian-government-losing-the-fight-to-contain-coronavirus/news-story/48f29c64f1403ec8af18938a70c92aa5 …
132,As VCOSS just tweeted the Andrews Labor govt must ensure residents of these public housing estates must guarantee;Every tenant knows what’s going onEvery tenant understands why it’s happening and thatEvery tenant is given the support they need
133,The Andrews Labor Govt couldn’t manage hotel quarantine without it becoming a national embarrassment How is Labor going to successfully lock down 9 towers with some of the most disadvantaged Victorians without stuffing it up and potentially horrendous consequences ? https://twittercom/9NewsMelb/status/1279325937729810432 …
134,This front page in today’s theheraldsun by s_deery proves that LisanevilleMP lied to 3AWNeilMitchell in her interview on 1 July When will she front the media and explain ? She can’t be questioned by us - parliament doesn’t sit until August  https://wwwheraldsuncomau/coronavirus/leaked-email-exposes-victorias-plea-to-adf-during-hotel-quarantine-fiasco/news-story/0e915ba61f4b38b4ff643ec410ab6f75 …
135,Is anyone at this press conference with Andrews going to ask a follow up from s_deery front page today which showed this interview given by  LisanevilleMP on 3AW693 on 1 July was full of lies about calling out the ADF to manage hotel quarantine ? https://www3awcomau/police-minister-says-military-deployment-in-quarantine-hotels-was-never-considered/ …
136, pictwittercom/byJybR7Rg2
137, pictwittercom/wvDFmOvOuC
138, pictwittercom/x90KYp6K6W
139,And the Minister responsible for Jobs Precincts and Regions is  Martin Pakula who has fled the scene But the buck stops with the Premier His refusal to answer simple questions is making him look more devious cowardly and out of touch every day his crisis drags on https://twittercom/heidimur/status/1278870821256101888 …
140,Looking forward to speaking with Peter Stefanovic on SkyNewsAust very soon 
141, pictwittercom/PvRgbUIPI8
142,Labor’s hotel quarantine fiasco caused Victoria’s second wave of Covid-19Labor is the Guilty Party pictwittercom/KGDWtgomx0
143,We don’t need another inquiry we demand Daniel Andrews and his 3 responsible Ministers for this fiasco  JennyMikakos MartinPakulaMP LisanevilleMP to admit their culpability for this crisis  resign Private ‘bouncers’ must be replaced with the ADF  police like in NSW ASAP https://twittercom/DHughesy/status/1277936911340822530 …
144,Which Minister will resign  MartinPakulaMP LisanevilleMP or JennyMikakos for this fiasco ? Or will Andrews ? He will hide behind this inquiry for months At quarantine hotels in Sydney each FLOOR has 1 nswpolice 1 ADF  private security no wonder they’ve had no break outs https://twittercom/9NewsMelb/status/1278439450910044161 …
145, pictwittercom/saMJ44LQOD
146,These cowboys missed the deadline for constructing the park they were obligated to on the site of the CorkmanDick Wynne never appealed when their fines for knocking down the Corkman were halved by the County CourtThese individuals got away with the heist of the century
147,These cowboys have also used seriously dangerous highly 🔥 cladding at an apartment complex in Hawthorn My message to rwynnemp - go after these shocking people - use the significant powers of the VBA and the state govt  throw the book at them https://wwwgooglecomau/amp/s/ampninecomau/article/68766890-1e1b-4682-b78d-6627eaee135b …
148,LukeI completely agree with you how are the Corkman Cowboys allowed to continue to remain in business? I’ve asked your mate rwynnemp about this - no answer These cowboys illegally knocked down an historic pub then dumped asbestos near a child care centre Shocking people https://twittercom/lhilakari/status/1278083015017558017 …
149,Will the responsible Minitser JennyMikakos LisanevilleMP or MartinPakulaMP be sacked ? The gang of 8 has failed Victorians are pariahs because of this incompetence Who will be taking responsibility for the decision to use bouncers- you know like at a pub -  not the ADF? https://twittercom/tminear/status/1277837625064185856 …
150,Victorians have become pariahs in their own country because of the failures of Victoria’s inept Labor government and the panicked leadership of Chairman Dan 🤦🏻‍♂️ https://twittercom/3AW693/status/1277817215350267905 …
151,Hi QandA - I’m wondering why you didn’t disclose that this questionerMarg D’Arcyis the former Labor candidate for Kooyong in 2016 and Kew in 2018 ? This was relevant information that would explain her attack on the ScottMorrisonMP  JoshFrydenberg Coalition government https://twittercom/QandA/status/1277578059831341058 …
152,Where are the new clearways going ? How many carparks will be lost for local traders ? I remember when Labor did this in 2010 it didn’t end well https://twittercom/jodilee_7/status/1277385470737932288 …
153,Really looking forward to talking with BenFordhamLive on 2GB873 after the 6AM news 
154,Not a single Minister from the Andrews Labor Govt was out to answer questions today Pathetic and gutless I’ve been critical of the Deputy CHO in the past but Victoria’s largest increase for months should have been announced with the Health Minister to answer questions too https://twittercom/alicialoxley/status/1276740779671605250 …
155,I couldn’t care less about your thoughtsor your strange analogy about running through Wuhan without any clothes on🤦🏼‍♀️I do care very much about the facts you quoted;30 leave quarantine without being tested in VIC compared to 2 in NSW This is very badas you correctly point out
156,Victoria is a national embarrassment Victorian Health Minister JennyMikakos  is completely out of her depth She is a lazy and hopeless minister who is failing the entire nationRead this 👎 so so bad 🤬🤦🏻‍♂️ https://twittercom/drvyom/status/1276689332816900101 …
157,In NSW the govt will detain you in quarantine for an extra 10 days if  you refuse a test - in Victoria there are no consequences for refusing a test🤦🏼‍♀️Andrews has focussed on all the wrong issues instead of cafes how about making sure everyone who is sick is kept isolated?
158,Chairman Dan was tough on golf fishing and getting children back to school Totally irrelevant in stopping the spread of the virus 🦠So I can’t believe the Andrews Labor government didn’t force quarantined travellers to get tested for Covid-19🤦🏼‍♀️🤷‍♂️🤬 https://twittercom/TheTodayShow/status/1276656469082083328 …
159,Mate go to bed You’re a fool My support for the Jewish community has never been questioned
